Province_State,Country_Region,Confirmed,Deaths,Latitude,Longitude
,Libya,78097.0,1447.0,26.3351,17.228331
,Liechtenstein,2728.0,11.0,47.14,9.55
,Lithuania,220065.0,2818.0,55.1694,23.8813
,Luxembourg,27862.0,85.0,49.8153,6.1296
,MS Zaandam,0.0,0.0,,
,Madagascar,7406.0,71.0,-18.766947,46.869107
,Malawi,14492.0,179.0,-13.2543,34.3015
Johor,Malaysia,163639.0,3634.0,1.4854,103.7618
Kedah,Malaysia,153491.0,1619.0,6.1184,100.3685
Kelantan,Malaysia,132796.0,804.0,6.1254,102.2381
Melaka,Malaysia,76286.0,954.0,2.1896,102.2501
Negeri Sembilan,Malaysia,79839.0,602.0,2.7258,101.9424
Pahang,Malaysia,84670.0,737.0,3.8126,103.3256
Perak,Malaysia,97853.0,-1215.0,4.5921,101.0901
Perlis,Malaysia,-49831.0,-8957.0,6.4449,100.2048
Pulau Pinang,Malaysia,107405.0,-443.0,5.4141,100.3288
Sabah,Malaysia,220586.0,1087.0,5.9788,116.0753
Sarawak,Malaysia,232415.0,-419.0,1.5533,110.3592
Selangor,Malaysia,723675.0,2180.0,3.0738,101.5183
Terengganu,Malaysia,-814643.0,-36978.0,5.3117,103.1324
Unknown,Malaysia,-82112.0,-6822.0,,
W.P. Kuala Lumpur,Malaysia,184369.0,1053.0,3.139,101.6869
W.P. Labuan,Malaysia,-33507.0,-2624.0,5.2831,115.2308
W.P. Putrajaya,Malaysia,-146189.0,-11476.0,2.9264,101.6964
,Maldives,27019.0,-5330.0,3.2028,73.2207
,Mali,-33879.0,-6306.0,17.570692,-3.996166000000001
,Malta,-81945.0,-14314.0,35.9375,14.3754
,Marshall Islands,-337711.0,-40927.0,7.1315,171.1845
,Mauritania,-23523.0,-6026.0,21.0079,-10.9408
,Mauritius,26004.0,-3290.0,-20.348404,57.552152
Aguascalientes,Mexico,9699.0,609.0,21.8853,-102.2916
Baja California,Mexico,-87367.0,-323.0,30.8406,-115.2838
Baja California Sur,Mexico,-6274.0,-2216.0,26.0444,-111.6661
Campeche,Mexico,-83369.0,-11299.0,19.8301,-90.5349
Chiapas,Mexico,-61666.0,-2616.0,16.7569,-93.1292
Chihuahua,Mexico,26102.0,5007.0,28.63300000000001,-106.0691
Ciudad de Mexico,Mexico,913147.0,34386.0,19.4326,-99.1332
Coahuila,Mexico,34079.0,-192.0,27.0587,-101.7068
Colima,Mexico,-67720.0,-5545.0,19.1223,-104.0072
Durango,Mexico,-63870.0,-1622.0,24.5593,-104.6588
Guanajuato,Mexico,117099.0,7479.0,21.019,-101.2574
Guerrero,Mexico,52091.0,3600.0,17.4392,-99.5451
Hidalgo,Mexico,63429.0,7907.0,20.0911,-98.7624
Jalisco,Mexico,61934.0,5731.0,20.6595,-103.3494
Mexico,Mexico,322086.0,39953.0,19.4969,-99.7233
Michoacan,Mexico,35460.0,5182.0,19.5665,-101.7068
Morelos,Mexico,50751.0,4952.0,18.6813,-99.1013
Nayarit,Mexico,-233412.0,-3496.0,21.7514,-104.8455
Nuevo Leon,Mexico,207001.0,13707.0,25.5922,-99.9962
Oaxaca,Mexico,-133698.0,4714.0,17.0732,-96.7266
Puebla,Mexico,10782.0,13997.0,19.0414,-98.2063
Queretaro,Mexico,-766515.0,-7084.0,20.5888,-100.3899
Quintana Roo,Mexico,-84688.0,2235.0,19.1817,-88.4791
San Luis Potosi,Mexico,-16587.0,3442.0,22.1565,-100.9855
Sinaloa,Mexico,-688654.0,-1752.0,25.1721,-107.4795
Sonora,Mexico,108779.0,9015.0,29.2972,-110.3309
Tabasco,Mexico,142728.0,5742.0,17.8409,-92.6189
Tamaulipas,Mexico,89175.0,6982.0,24.2669,-98.8363
Tlaxcala,Mexico,-8626.0,2647.0,19.3139,-98.2404
Unknown,Mexico,-42847.0,-249.0,,
Veracruz,Mexico,74033.0,14613.0,19.1738,-96.1342
Yucatan,Mexico,-139212.0,3660.0,20.7099,-89.0943
Zacatecas,Mexico,-6358.0,3185.0,22.7709,-102.5832
,Micronesia,-128491.0,-1681.0,7.4256,150.5508
,Moldova,68365.0,7118.0,47.4116,28.3699
,Monaco,-330007.0,-2660.0,43.7333,7.4167
,Mongolia,566674.0,907.0,46.8625,103.8467
,Montenegro,166288.0,2358.0,42.708678000000006,19.37439
,Morocco,957276.0,14834.0,31.7917,-7.0926
,Mozambique,39244.0,710.0,-18.665695,35.529562
,Namibia,114593.0,3380.0,-22.9576,18.4904
,Nepal,366976.0,7254.0,28.1667,84.25
Aruba,Netherlands,20460.0,181.0,12.5211,-69.9683
"Bonaire, Sint Eustatius and Saba",Netherlands,-239.0,-3.0,12.1784,-68.2385
Curacao,Netherlands,9590.0,-11.0,12.1696,-68.99
Drenthe,Netherlands,57770.0,217.0,52.862485,6.6184350000000025
Flevoland,Netherlands,-120349.0,-2172.0,52.550383,5.515162
Friesland,Netherlands,-79732.0,-5386.0,53.087337,5.7925
Gelderland,Netherlands,195050.0,1751.0,52.061738,5.939114
Groningen,Netherlands,-226401.0,-3735.0,53.217922,6.741514
Limburg,Netherlands,197846.0,1355.0,51.209227,5.93387
Noord-Brabant,Netherlands,447270.0,3195.0,51.561174,5.184942
Noord-Holland,Netherlands,507249.0,2928.0,52.60090600000001,4.918688
Overijssel,Netherlands,101808.0,471.0,52.444558,6.441722
Sint Maarten,Netherlands,-157813.0,-4940.0,18.0425,-63.0548
Unknown,Netherlands,-381211.0,-11940.0,,
Utrecht,Netherlands,-187604.0,-5462.0,52.084251,5.163824
Zeeland,Netherlands,64409.0,354.0,51.47936,3.861559
Zuid-Holland,Netherlands,253258.0,-2214.0,51.937835,4.462114
Cook Islands,New Zealand,-17924.0,-192.0,-21.2367,-159.7777
,New Zealand,-444496.0,-15734.0,-40.9006,174.886
,Nicaragua,-13606.0,-1016.0,12.865416,-85.207229
,Niger,-68276.0,-6309.0,17.607789,8.081666
,Nigeria,215748.0,1552.0,9.082,8.6753
,North Macedonia,112135.0,-1607.0,41.6086,21.7453
